Date,Open,High,Low,Close,Adj Close,Volume
2021-06-08,114.339996,114.790001,114.339996,114.339996,113.119804,30000
2021-06-09,114.050003,115.150002,112.959999,113.610001,112.397598,54800
2021-06-10,115.660004,115.660004,114.099998,115.000000,113.772766,38400
2021-06-11,115.830002,115.830002,114.169998,114.739998,113.515541,36200
2021-06-14,115.690002,115.690002,114.500000,115.199997,113.970634,23400
2021-06-15,116.129997,116.750000,115.529999,116.269997,115.029213,35000
2021-06-16,116.860001,117.000000,115.550003,116.220001,114.979752,35700
2021-06-17,115.040001,115.440002,114.080002,114.959999,113.733200,32000
2021-06-18,115.000000,115.000000,114.110001,114.120003,112.902161,40500
2021-06-21,115.760002,116.660004,115.309998,116.660004,115.415054,27300
2021-06-22,113.059998,113.690002,112.660004,113.290001,112.081017,67900
2021-06-23,112.709999,112.709999,111.010002,111.059998,109.874809,28200
2021-06-24,107.540001,109.879997,107.540001,109.349998,108.183060,40700
2021-06-25,109.500000,109.500000,108.239998,108.699997,107.539993,32800
2021-06-28,112.410004,112.410004,108.750000,109.580002,108.410606,30000
2021-06-29,107.150002,109.970001,107.150002,109.589996,108.420502,34600
2021-06-30,107.050003,107.070000,106.190002,106.349998,105.215080,86100
2021-07-01,105.750000,106.570000,105.750000,106.199997,105.066673,35600
2021-07-02,107.029999,107.230003,106.239998,106.779999,105.640488,61500
2021-07-06,106.000000,106.000000,103.000000,103.550003,102.444962,43800
2021-07-07,105.489998,105.879997,105.209999,105.250000,104.126816,63400
2021-07-08,104.269997,104.269997,102.570000,103.290001,102.187737,35200
2021-07-09,105.599998,105.599998,102.970001,104.220001,103.107811,28700
2021-07-12,104.790001,104.959999,104.309998,104.900002,103.780548,33600
2021-07-13,103.650002,105.000000,103.650002,104.400002,103.285896,44900
2021-07-14,105.300003,105.300003,104.209999,104.230003,103.117706,78200
2021-07-15,100.830002,102.519997,100.830002,101.720001,100.634491,129000
2021-07-16,103.510002,103.510002,102.190002,102.650002,101.554565,52300
2021-07-19,103.820000,104.050003,102.750000,103.540001,102.435066,47400
2021-07-20,101.629997,106.419998,101.629997,106.360001,105.224976,57700
2021-07-21,106.400002,107.629997,106.400002,107.629997,106.481415,27600
2021-07-22,107.010002,107.019997,105.769997,106.120003,104.987541,99400
2021-07-23,108.199997,108.870003,108.190002,108.650002,107.490532,27300
2021-07-26,108.360001,108.589996,107.940002,108.330002,107.173950,29200
2021-07-27,107.070000,107.660004,107.040001,107.400002,106.253876,44200
2021-07-28,106.239998,107.349998,106.239998,107.330002,106.184624,22300
2021-07-29,108.220001,108.389999,108.000000,108.129997,106.976082,20400
2021-07-30,107.589996,107.589996,106.349998,106.400002,105.264549,25300
2021-08-02,108.500000,108.519997,108.089996,108.160004,107.005768,29100
2021-08-03,107.809998,109.519997,107.809998,109.320000,108.153381,32000
2021-08-04,108.410004,108.529999,107.610001,107.900002,106.748535,28100
2021-08-05,109.150002,109.199997,108.879997,109.050003,107.886269,18700
